mesto_na_lestvici,naslov_pesmi,ime_izvajalca,najvišje_mesto,tednov_na_lestvici
81,I Could Use A Love Song,Maren Morris,75,19
82,MIC Drop,BTS Featuring Desiigner,28,5
83,Dubai Shit,Huncho Jack Featuring Offset,83,1
84,My Dawg,Lil Baby,71,3
85,Pick It Up,Famous Dex Featuring A$AP Rocky,73,7
86,Written In The Sand,Old Dominion,86,6
87,Huncho Jack,Huncho Jack,87,1
88,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",85,3
89,Five More Minutes,Scotty McCreery,89,4
90,Motorcycle Patches,Huncho Jack,90,1
91,Mayores,Becky G Featuring Bad Bunny,74,10
92,Saint,Huncho Jack,92,1
93,Walk On Water,Eminem Featuring Beyonce,14,5
94,Stir Fry,Migos,94,1
95,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,3
96,F**k Love,XXXTENTACION Featuring Trippie Redd,41,18
97,Legends,Kelsea Ballerini,97,4
98,Too Much To Ask,Niall Horan,66,10
99,Dusk Till Dawn,Zayn Featuring Sia,44,16
100,Juice,Yo Gotti,93,4
1,Perfect,Ed Sheeran,1,19
2,Havana,Camila Cabello Featuring Young Thug,2,21
3,Rockstar,Post Malone Featuring 21 Savage,1,16
4,Thunder,Imagine Dragons,4,36
5,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,17
6,Bad At Love,Halsey,6,18
7,Too Good At Goodbyes,Sam Smith,4,17
8,MotorSport,"Migos, Nicki Minaj & Cardi B",6,10
9,Gucci Gang,Lil Pump,3,17
10,Bodak Yellow (Money Moves),Cardi B,1,27
11,New Rules,Dua Lipa,11,23
12,Feel It Still,Portugal. The Man,4,29
13,Shape Of You,Ed Sheeran,1,52
14,Love.,Kendrick Lamar Featuring Zacari,11,28
15,Sorry Not Sorry,Demi Lovato,6,26
16,Believer,Imagine Dragons,4,48
17,Him & I,G-Eazy & Halsey,15,5
18,Let You Down,NF,16,12
19,Bartier Cardi,Cardi B Featuring 21 Savage,14,2
20,Gummo,6ix9ine,12,8
21,What Lovers Do,Maroon 5 Featuring SZA,9,19
22,Young Dumb & Broke,Khalid,18,25
23,I Fall Apart,Post Malone,16,15
24,Meant To Be,Bebe Rexha & Florida Georgia Line,24,11
25,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,51
26,I Get The Bag,Gucci Mane Featuring Migos,11,20
27,How Long,Charlie Puth,26,13
28,Wolves,Selena Gomez X Marshmello,20,11
29,Bank Account,21 Savage,12,26
30,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,27
31,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,15
32,That's What I Like,Bruno Mars,1,51
33,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,36
34,Attention,Charlie Puth,5,37
35,Finesse,Bruno Mars & Cardi B,35,1
36,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,19
37,The Weekend,SZA,29,23
38,Sky Walker,Miguel Featuring Travis Scott,35,15
39,End Game,Taylor Swift Featuring Ed Sheeran & Future,39,7
40,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,15
41,Silence,Marshmello Featuring Khalid,30,21
42,Unforgettable,French Montana Featuring Swae Lee,3,39
43,What About Us,P!nk,13,22
44,Marry Me,Thomas Rhett,44,5
45,River,Eminem Featuring Ed Sheeran,11,3
46,Like I Loved You,Brett Young,46,15
47,Roll In Peace,Kodak Black Featuring XXXTENTACION,47,20
48,Lemon,N*E*R*D & Rihanna,46,9
49,Ric Flair Drip,Offset & Metro Boomin,44,10
50,Lights Down Low,MAX Featuring gnash,50,13
51,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,17
52,Yours,Russell Dickerson,52,12
53,Greatest Love Story,LANCO,45,18
54,Good Old Days,Macklemore Featuring Kesha,54,11
55,Look What You Made Me Do,Taylor Swift,1,20
56,I'll Name The Dogs,Blake Shelton,56,17
57,Round Here Buzz,Eric Church,57,15
58,...Ready For It?,Taylor Swift,4,18
59,Candy Paint,Post Malone,50,11
60,Rubbin Off The Paint,YBN Nahmir,46,9
61,La Modelo,Ozuna x Cardi B,52,2
62,I Could Use A Love Song,Maren Morris,62,20
63,Losing Sleep,Chris Young,63,15
64,Echame La Culpa,Luis Fonsi & Demi Lovato,47,7
65,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,6
66,MIC Drop,BTS Featuring Desiigner,28,6
67,You Broke Up With Me,Walker Hayes,67,11
68,Kooda,6ix9ine,50,5
69,Light It Up,Luke Bryan,57,19
70,Written In The Sand,Old Dominion,70,7
71,Never Be The Same,Camila Cabello,61,3
72,Tell Me You Love Me,Demi Lovato,53,6
73,No Smoke,YoungBoy Never Broke Again,73,5
74,Ice Tray,Quavo & Lil Yachty,74,3
75,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,4
76,Betrayed,Lil Xan,67,8
77,Pick It Up,Famous Dex Featuring A$AP Rocky,73,8
78,Five More Minutes,Scotty McCreery,78,5
79,Legends,Kelsea Ballerini,79,5
80,One Foot,WALK THE MOON,80,1
81,Mayores,Becky G Featuring Bad Bunny,74,11
82,Heaven,Kane Brown,72,2
83,This Is Me,Keala Settle & The Greatest Showman Ensemble,83,1
84,My Dawg,Lil Baby,71,4
85,Rewrite The Stars,Zac Efron & Zendaya,85,1
86,Too Much To Ask,Niall Horan,66,11
87,All On Me,Devin Dawson,87,6
88,Never Enough,Loren Allred,88,1
89,Stir Fry,Migos,89,2
90,Juice,Yo Gotti,90,5
91,Broken Halos,Chris Stapleton,90,6
92,Corazon,Maluma X Nego do Borel,92,1
93,Female,Keith Urban,69,2
94,Dusk Till Dawn,Zayn Featuring Sia,44,17
95,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",95,1
96,When We,Tank,86,6
97,Wanted You,NAV Featuring Lil Uzi Vert,64,7
98,F**k Love,XXXTENTACION Featuring Trippie Redd,41,19
99,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,4
100,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",100,1
1,Perfect,Ed Sheeran,1,20
2,Havana,Camila Cabello Featuring Young Thug,2,22
3,Finesse,Bruno Mars & Cardi B,3,2
4,Rockstar,Post Malone Featuring 21 Savage,1,17
5,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,18
6,Thunder,Imagine Dragons,4,37
7,Bad At Love,Halsey,6,19
8,Too Good At Goodbyes,Sam Smith,4,18
9,Filthy,Justin Timberlake,9,1
10,MotorSport,"Migos, Nicki Minaj & Cardi B",6,11
11,New Rules,Dua Lipa,11,24
12,Gucci Gang,Lil Pump,3,18
13,Love.,Kendrick Lamar Featuring Zacari,11,29
14,Bartier Cardi,Cardi B Featuring 21 Savage,14,3
15,Let You Down,NF,15,13
16,Him & I,G-Eazy & Halsey,15,6
17,Bodak Yellow (Money Moves),Cardi B,1,28
18,Meant To Be,Bebe Rexha & Florida Georgia Line,18,12
19,Gummo,6ix9ine,12,9
20,Feel It Still,Portugal. The Man,4,30
21,Sorry Not Sorry,Demi Lovato,6,27
22,Shape Of You,Ed Sheeran,1,53
23,How Long,Charlie Puth,23,14
24,Wolves,Selena Gomez X Marshmello,20,12
25,I Get The Bag,Gucci Mane Featuring Migos,11,21
26,I Fall Apart,Post Malone,16,16
27,What Lovers Do,Maroon 5 Featuring SZA,9,20
28,Young Dumb & Broke,Khalid,18,26
29,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,16
30,Believer,Imagine Dragons,4,49
31,Sky Walker,Miguel Featuring Travis Scott,31,16
32,River,Eminem Featuring Ed Sheeran,11,4
33,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,20
34,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,52
35,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,28
36,End Game,Taylor Swift Featuring Ed Sheeran & Future,36,8
37,Bank Account,21 Savage,12,27
38,That's What I Like,Bruno Mars,1,52
39,Marry Me,Thomas Rhett,39,6
40,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,16
41,Attention,Charlie Puth,5,38
42,The Weekend,SZA,29,24
43,All The Stars,Kendrick Lamar & SZA,43,1
44,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,37
45,Roll In Peace,Kodak Black Featuring XXXTENTACION,45,21
46,Silence,Marshmello Featuring Khalid,30,22
47,Lights Down Low,MAX Featuring gnash,47,14
48,Ric Flair Drip,Offset & Metro Boomin,44,11
49,Unforgettable,French Montana Featuring Swae Lee,3,40
50,Lemon,N*E*R*D & Rihanna,46,10
51,Like I Loved You,Brett Young,46,16
52,Yours,Russell Dickerson,52,13
53,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,18
54,Good Old Days,Macklemore Featuring Kesha,54,12
55,Tell Me You Love Me,Demi Lovato,53,7
56,I Could Use A Love Song,Maren Morris,56,21
57,Round Here Buzz,Eric Church,57,16
58,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,7
59,La Modelo,Ozuna x Cardi B,52,3
60,Echame La Culpa,Luis Fonsi & Demi Lovato,47,8
61,Greatest Love Story,LANCO,45,19
62,Rubbin Off The Paint,YBN Nahmir,46,10
63,Losing Sleep,Chris Young,63,16
64,This Is Me,Keala Settle & The Greatest Showman Ensemble,64,2
65,Never Be The Same,Camila Cabello,61,4
66,I'll Name The Dogs,Blake Shelton,56,18
67,Candy Paint,Post Malone,50,12
68,You Broke Up With Me,Walker Hayes,67,12
69,Written In The Sand,Old Dominion,69,8
70,Heaven,Kane Brown,70,3
71,Pick It Up,Famous Dex Featuring A$AP Rocky,71,9
72,Stir Fry,Migos,72,3
73,Kooda,6ix9ine,50,6
74,MIC Drop,BTS Featuring Desiigner,28,7
75,No Smoke,YoungBoy Never Broke Again,73,6
76,Betrayed,Lil Xan,67,9
77,Five More Minutes,Scotty McCreery,77,6
78,Rewrite The Stars,Zac Efron & Zendaya,78,2
79,Ice Tray,Quavo & Lil Yachty,74,4
80,...Ready For It?,Taylor Swift,4,19
81,All On Me,Devin Dawson,81,7
82,For You (Fifty Shades Freed),Liam Payne & Rita Ora,82,1
83,Legends,Kelsea Ballerini,79,6
84,One Foot,WALK THE MOON,80,2
85,Nowadays,Lil Skies Featuring Landon Cube,85,1
86,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",86,2
87,My Dawg,Lil Baby,71,5
88,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,2
89,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,5
90,Corazon,Maluma X Nego do Borel,90,2
91,Broken Halos,Chris Stapleton,90,7
92,I Miss You,Clean Bandit Featuring Julia Michaels,92,1
93,Too Much To Ask,Niall Horan,66,12
94,Mayores,Becky G Featuring Bad Bunny,74,12
95,Beautiful Trauma,P!nk,95,3
96,Female,Keith Urban,69,3
97,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,5
98,Red Roses,Lil Skies Featuring Landon Cube,98,1
99,Never Enough,Loren Allred,88,2
100,Juice,Yo Gotti,90,6
1,Havana,Camila Cabello Featuring Young Thug,1,23
2,Perfect,Ed Sheeran,1,21
3,Rockstar,Post Malone Featuring 21 Savage,1,18
4,Finesse,Bruno Mars & Cardi B,3,3
5,Bad At Love,Halsey,5,20
6,Thunder,Imagine Dragons,4,38
7,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,19
8,New Rules,Dua Lipa,8,25
9,Too Good At Goodbyes,Sam Smith,4,19
10,MotorSport,"Migos, Nicki Minaj & Cardi B",6,12
11,Gucci Gang,Lil Pump,3,19
12,Love.,Kendrick Lamar Featuring Zacari,11,30
13,Gummo,6ix9ine,12,10
14,Let You Down,NF,14,14
15,Him & I,G-Eazy & Halsey,15,7
16,Bartier Cardi,Cardi B Featuring 21 Savage,14,4
17,Meant To Be,Bebe Rexha & Florida Georgia Line,17,13
18,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,9
19,Bodak Yellow (Money Moves),Cardi B,1,29
20,I Fall Apart,Post Malone,16,17
21,Shape Of You,Ed Sheeran,1,54
22,How Long,Charlie Puth,22,15
23,Feel It Still,Portugal. The Man,4,31
24,I Get The Bag,Gucci Mane Featuring Migos,11,22
25,Wolves,Selena Gomez X Marshmello,20,13
26,Believer,Imagine Dragons,4,50
27,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,17
28,Sorry Not Sorry,Demi Lovato,6,28
29,Filthy,Justin Timberlake,9,2
30,Never Be The Same,Camila Cabello,30,5
31,What Lovers Do,Maroon 5 Featuring SZA,9,21
32,Young Dumb & Broke,Khalid,18,27
33,Sky Walker,Miguel Featuring Travis Scott,31,17
34,River,Eminem Featuring Ed Sheeran,11,5
35,Marry Me,Thomas Rhett,35,7
36,Roll In Peace,Kodak Black Featuring XXXTENTACION,36,22
37,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,21
38,Bank Account,21 Savage,12,28
39,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,29
40,Lemon,N*E*R*D & Rihanna,40,11
41,Lights Down Low,MAX Featuring gnash,41,15
42,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,17
43,Ric Flair Drip,Offset & Metro Boomin,43,12
44,Attention,Charlie Puth,5,39
45,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,38
46,The Weekend,SZA,29,25
47,The Champion,Carrie Underwood Featuring Ludacris,47,1
48,Unforgettable,French Montana Featuring Swae Lee,3,41
49,Yours,Russell Dickerson,49,14
50,Silence,Marshmello Featuring Khalid,30,23
51,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,19
52,Like I Loved You,Brett Young,46,17
53,All The Stars,Kendrick Lamar & SZA,43,2
54,Good Old Days,Macklemore Featuring Kesha,54,13
55,Nowadays,Lil Skies Featuring Landon Cube,55,2
56,Round Here Buzz,Eric Church,56,17
57,Echame La Culpa,Luis Fonsi & Demi Lovato,47,9
58,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,3
59,Written In The Sand,Old Dominion,59,9
60,Stir Fry,Migos,60,4
61,Losing Sleep,Chris Young,61,17
62,Rubbin Off The Paint,YBN Nahmir,46,11
63,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,8
64,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",64,1
65,Greatest Love Story,LANCO,45,20
66,Pick It Up,Famous Dex Featuring A$AP Rocky,66,10
67,La Modelo,Ozuna x Cardi B,52,4
68,You Broke Up With Me,Walker Hayes,67,13
69,Red Roses,Lil Skies Featuring Landon Cube,69,2
70,Rewrite The Stars,Zac Efron & Zendaya,70,3
71,Outside Today,YoungBoy Never Broke Again,71,1
72,Tell Me You Love Me,Demi Lovato,53,8
73,Kooda,6ix9ine,50,7
74,Candy Paint,Post Malone,50,13
75,Betrayed,Lil Xan,67,10
76,Heaven,Kane Brown,70,4
77,One Foot,WALK THE MOON,77,3
78,No Smoke,YoungBoy Never Broke Again,73,7
79,MIC Drop,BTS Featuring Desiigner,28,8
80,My My My!,Troye Sivan,80,1
81,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,3
82,I'll Name The Dogs,Blake Shelton,56,19
83,Five More Minutes,Scotty McCreery,77,7
84,Tequila,Dan + Shay,84,1
85,Legends,Kelsea Ballerini,79,7
86,Ice Tray,Quavo & Lil Yachty,74,5
87,Corazon,Maluma X Nego do Borel,87,3
88,All On Me,Devin Dawson,81,8
89,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,3
90,My Dawg,Lil Baby,71,6
91,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",91,1
92,IDGAF,Dua Lipa,92,1
93,Mayores,Becky G Featuring Bad Bunny,74,13
94,Broken Halos,Chris Stapleton,90,8
95,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,6
96,...Ready For It?,Taylor Swift,4,20
97,Never Enough,Loren Allred,88,3
98,El Bano,Enrique Iglesias Featuring Bad Bunny,98,1
99,Beautiful Trauma,P!nk,95,4
100,Female,Keith Urban,69,4
1,God's Plan,Drake,1,1
2,Perfect,Ed Sheeran,1,22
3,Havana,Camila Cabello Featuring Young Thug,1,24
4,Rockstar,Post Malone Featuring 21 Savage,1,19
5,Finesse,Bruno Mars & Cardi B,3,4
6,Bad At Love,Halsey,5,21
7,Diplomatic Immunity,Drake,7,1
8,New Rules,Dua Lipa,8,26
9,Thunder,Imagine Dragons,4,39
10,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,20
11,MotorSport,"Migos, Nicki Minaj & Cardi B",6,13
12,Meant To Be,Bebe Rexha & Florida Georgia Line,12,14
13,Too Good At Goodbyes,Sam Smith,4,20
14,Let You Down,NF,14,15
15,Love.,Kendrick Lamar Featuring Zacari,11,31
16,Him & I,G-Eazy & Halsey,15,8
17,Gucci Gang,Lil Pump,3,20
18,Gummo,6ix9ine,12,11
19,I Fall Apart,Post Malone,16,18
20,Bartier Cardi,Cardi B Featuring 21 Savage,14,5
21,How Long,Charlie Puth,21,16
22,Shape Of You,Ed Sheeran,1,55
23,Bodak Yellow (Money Moves),Cardi B,1,30
24,I Get The Bag,Gucci Mane Featuring Migos,11,23
25,Feel It Still,Portugal. The Man,4,32
26,Wolves,Selena Gomez X Marshmello,20,14
27,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,18
28,Believer,Imagine Dragons,4,51
29,Sky Walker,Miguel Featuring Travis Scott,29,18
30,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,10
31,Roll In Peace,Kodak Black Featuring XXXTENTACION,31,23
32,Sorry Not Sorry,Demi Lovato,6,29
33,Filthy,Justin Timberlake,9,3
34,River,Eminem Featuring Ed Sheeran,11,6
35,Young Dumb & Broke,Khalid,18,28
36,Marry Me,Thomas Rhett,35,8
37,Never Be The Same,Camila Cabello,30,6
38,Lights Down Low,MAX Featuring gnash,38,16
39,Ric Flair Drip,Offset & Metro Boomin,39,13
40,Lemon,N*E*R*D & Rihanna,40,12
41,What Lovers Do,Maroon 5 Featuring SZA,9,22
42,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,22
43,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,2
44,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,30
45,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,18
46,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,39
47,Bank Account,21 Savage,12,29
48,Attention,Charlie Puth,5,40
49,Yours,Russell Dickerson,49,15
50,Unforgettable,French Montana Featuring Swae Lee,3,42
51,Outside Today,YoungBoy Never Broke Again,51,2
52,Stir Fry,Migos,52,5
53,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,20
54,All The Stars,Kendrick Lamar & SZA,43,3
55,Good Old Days,Macklemore Featuring Kesha,54,14
56,Mine,Bazzi,56,1
57,Nowadays,Lil Skies Featuring Landon Cube,55,3
58,Pick It Up,Famous Dex Featuring A$AP Rocky,58,11
59,Greatest Love Story,LANCO,45,21
60,Written In The Sand,Old Dominion,59,10
61,No Smoke,YoungBoy Never Broke Again,61,8
62,Losing Sleep,Chris Young,61,18
63,Like I Loved You,Brett Young,46,18
64,Five More Minutes,Scotty McCreery,64,8
65,Sick Boy,The Chainsmokers,65,1
66,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,4
67,Heaven,Kane Brown,67,5
68,Echame La Culpa,Luis Fonsi & Demi Lovato,47,10
69,Rubbin Off The Paint,YBN Nahmir,46,12
70,You Broke Up With Me,Walker Hayes,67,14
71,Supplies,Justin Timberlake,71,1
72,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,9
73,Betrayed,Lil Xan,67,11
74,Red Roses,Lil Skies Featuring Landon Cube,69,3
75,One Foot,WALK THE MOON,75,4
76,La Modelo,Ozuna x Cardi B,52,5
77,Rewrite The Stars,Zac Efron & Zendaya,70,4
78,Candy Paint,Post Malone,50,14
79,Tell Me You Love Me,Demi Lovato,53,9
80,Round Here Buzz,Eric Church,56,18
81,All On Me,Devin Dawson,81,9
82,No Name,NF,82,1
83,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",83,2
84,MIC Drop,BTS Featuring Desiigner,28,9
85,Broken Halos,Chris Stapleton,85,9
86,Kooda,6ix9ine,50,8
87,Legends,Kelsea Ballerini,79,8
88,Wait,Maroon 5,88,2
89,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,4
90,Ice Tray,Quavo & Lil Yachty,74,6
91,Beautiful Trauma,P!nk,91,5
92,IDGAF,Dua Lipa,92,2
93,Corazon,Maluma X Nego do Borel,87,4
94,Mayores,Becky G Featuring Bad Bunny,74,14
95,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,4
96,Never Enough,Loren Allred,88,4
97,My Dawg,Lil Baby,71,7
98,I'll Name The Dogs,Blake Shelton,56,20
99,Rock,Plies,99,1
100,Female,Keith Urban,69,5
1,God's Plan,Drake,1,2
2,Perfect,Ed Sheeran,1,23
3,Finesse,Bruno Mars & Cardi B,3,5
4,Havana,Camila Cabello Featuring Young Thug,1,25
5,Rockstar,Post Malone Featuring 21 Savage,1,20
6,Bad At Love,Halsey,5,22
7,New Rules,Dua Lipa,7,27
8,MotorSport,"Migos, Nicki Minaj & Cardi B",6,14
9,Say Something,Justin Timberlake Featuring Chris Stapleton,9,1
10,Thunder,Imagine Dragons,4,40
11,Meant To Be,Bebe Rexha & Florida Georgia Line,11,15
12,Stir Fry,Migos,12,6
13,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,21
14,Let You Down,NF,14,16
15,Love.,Kendrick Lamar Featuring Zacari,11,32
16,Him & I,G-Eazy & Halsey,15,9
17,I Fall Apart,Post Malone,16,19
18,Walk It Talk It,Migos Featuring Drake,18,1
19,Bartier Cardi,Cardi B Featuring 21 Savage,14,6
20,Too Good At Goodbyes,Sam Smith,4,21
21,How Long,Charlie Puth,21,17
22,Shape Of You,Ed Sheeran,1,56
23,The Middle,"Zedd, Maren Morris & Grey",23,1
24,Gummo,6ix9ine,12,12
25,Bodak Yellow (Money Moves),Cardi B,1,31
26,Gucci Gang,Lil Pump,3,21
27,Feel It Still,Portugal. The Man,4,33
28,You Make It Easy,Jason Aldean,28,1
29,Believer,Imagine Dragons,4,52
30,Wolves,Selena Gomez X Marshmello,20,15
31,Sky Walker,Miguel Featuring Travis Scott,29,19
32,Never Be The Same,Camila Cabello,30,7
33,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,40
34,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,19
35,Young Dumb & Broke,Khalid,18,29
36,Narcos,Migos,36,1
37,I Get The Bag,Gucci Mane Featuring Migos,11,24
38,Lights Down Low,MAX Featuring gnash,38,17
39,Marry Me,Thomas Rhett,35,9
40,Roll In Peace,Kodak Black Featuring XXXTENTACION,31,24
41,Mine,Bazzi,41,2
